Station,Date,AQI,Year,Month,Day
Pirozi,1393/11/11,,1393,11,11
Pirozi,1393/11/12,53,1393,11,12
Pirozi,1393/11/13,74,1393,11,13
Pirozi,1393/11/14,,1393,11,14
Pirozi,1393/11/15,112,1393,11,15
Pirozi,1393/11/16,112,1393,11,16
Pirozi,1393/11/17,53,1393,11,17
Pirozi,1393/11/18,59,1393,11,18
Pirozi,1393/11/19,69,1393,11,19
Pirozi,1393/11/20,55,1393,11,20
Pirozi,1393/11/21,106,1393,11,21
Pirozi,1393/11/22,61,1393,11,22
Pirozi,1393/11/23,54,1393,11,23
Pirozi,1393/11/24,77,1393,11,24
Pirozi,1393/11/25,86,1393,11,25
Pirozi,1393/11/26,115,1393,11,26
Pirozi,1393/11/27,81,1393,11,27
Pirozi,1393/11/28,68,1393,11,28
Pirozi,1393/11/29,96,1393,11,29
Pirozi,1393/11/30,48,1393,11,30
Pirozi,1393/12/01,49,1393,12,1
Pirozi,1393/12/02,,1393,12,2
Pirozi,1393/12/03,70,1393,12,3
Pirozi,1393/12/04,73,1393,12,4
Pirozi,1393/12/05,83,1393,12,5
Pirozi,1393/12/06,67,1393,12,6
Pirozi,1393/12/07,68,1393,12,7
Pirozi,1393/12/08,55,1393,12,8
Pirozi,1393/12/09,68,1393,12,9
Pirozi,1393/12/10,90,1393,12,10
Pirozi,1393/12/11,74,1393,12,11
Pirozi,1393/12/12,57,1393,12,12
Pirozi,1393/12/13,45,1393,12,13
Pirozi,1393/12/14,,1393,12,14
Pirozi,1393/12/15,,1393,12,15
Pirozi,1393/12/16,,1393,12,16
Pirozi,1393/12/17,,1393,12,17
Pirozi,1393/12/18,,1393,12,18
Pirozi,1393/12/19,,1393,12,19
Pirozi,1393/12/20,,1393,12,20
Pirozi,1393/12/21,,1393,12,21
Pirozi,1393/12/22,,1393,12,22
Pirozi,1393/12/23,,1393,12,23
Pirozi,1393/12/24,,1393,12,24
Pirozi,1393/12/25,,1393,12,25
Pirozi,1393/12/26,,1393,12,26
Pirozi,1393/12/27,,1393,12,27
Pirozi,1393/12/28,,1393,12,28
Pirozi,1393/12/29,,1393,12,29
Pirozi,1394/01/01,,1394,1,1
Pirozi,1394/01/02,,1394,1,2
Pirozi,1394/01/03,,1394,1,3
Pirozi,1394/01/04,,1394,1,4
Pirozi,1394/01/05,,1394,1,5
Pirozi,1394/01/06,,1394,1,6
Pirozi,1394/01/07,,1394,1,7
Pirozi,1394/01/08,,1394,1,8
Pirozi,1394/01/09,,1394,1,9
Pirozi,1394/01/10,,1394,1,10
Pirozi,1394/01/11,,1394,1,11
Pirozi,1394/01/12,,1394,1,12
Pirozi,1394/01/13,,1394,1,13
Pirozi,1394/01/14,,1394,1,14
Pirozi,1394/01/15,,1394,1,15
Pirozi,1394/01/16,,1394,1,16
Pirozi,1394/01/17,,1394,1,17
Pirozi,1394/01/18,,1394,1,18
Pirozi,1394/01/19,,1394,1,19
Pirozi,1394/01/20,,1394,1,20
Pirozi,1394/01/21,,1394,1,21
Pirozi,1394/01/22,,1394,1,22
Pirozi,1394/01/23,,1394,1,23
Pirozi,1394/01/24,,1394,1,24
Pirozi,1394/01/25,,1394,1,25
Pirozi,1394/01/26,,1394,1,26
Pirozi,1394/01/27,,1394,1,27
Pirozi,1394/01/28,,1394,1,28
Pirozi,1394/01/29,,1394,1,29
Pirozi,1394/01/30,,1394,1,30
Pirozi,1394/01/31,56,1394,1,31
Pirozi,1394/02/01,67,1394,2,1
Pirozi,1394/02/02,87,1394,2,2
Pirozi,1394/02/03,135,1394,2,3
Pirozi,1394/02/04,88,1394,2,4
Pirozi,1394/02/05,98,1394,2,5
Pirozi,1394/02/06,62,1394,2,6
Pirozi,1394/02/07,,1394,2,7
Pirozi,1394/02/08,,1394,2,8
Pirozi,1394/02/09,,1394,2,9
Pirozi,1394/02/10,,1394,2,10
Pirozi,1394/02/11,,1394,2,11
Pirozi,1394/02/12,,1394,2,12
Pirozi,1394/02/13,,1394,2,13
Pirozi,1394/02/14,,1394,2,14
Pirozi,1394/02/15,,1394,2,15
Pirozi,1394/02/16,,1394,2,16
Pirozi,1394/02/17,,1394,2,17
Pirozi,1394/02/18,,1394,2,18
Pirozi,1394/02/19,,1394,2,19
Pirozi,1394/02/20,,1394,2,20
Pirozi,1394/02/21,,1394,2,21
Pirozi,1394/02/22,,1394,2,22
Pirozi,1394/02/23,,1394,2,23
Pirozi,1394/02/24,,1394,2,24
Pirozi,1394/02/25,,1394,2,25
Pirozi,1394/02/26,,1394,2,26
Pirozi,1394/02/27,,1394,2,27
Pirozi,1394/02/28,,1394,2,28
Pirozi,1394/02/29,,1394,2,29
Pirozi,1394/02/30,,1394,2,30
Pirozi,1394/02/31,,1394,2,31
Pirozi,1394/03/01,,1394,3,1
Pirozi,1394/03/02,,1394,3,2
Pirozi,1394/03/03,,1394,3,3
Pirozi,1394/03/04,,1394,3,4
Pirozi,1394/03/05,,1394,3,5
Pirozi,1394/03/06,,1394,3,6
Pirozi,1394/03/07,,1394,3,7
Pirozi,1394/03/08,,1394,3,8
Pirozi,1394/03/09,141,1394,3,9
Pirozi,1394/03/10,66,1394,3,10
Pirozi,1394/03/11,68,1394,3,11
Pirozi,1394/03/12,80,1394,3,12
Pirozi,1394/03/13,94,1394,3,13
Pirozi,1394/03/14,74,1394,3,14
Pirozi,1394/03/15,14,1394,3,15
Pirozi,1394/03/16,61,1394,3,16
Pirozi,1394/03/17,16,1394,3,17
Pirozi,1394/03/18,18,1394,3,18
Pirozi,1394/03/19,39,1394,3,19
Pirozi,1394/03/20,25,1394,3,20
Pirozi,1394/03/21,,1394,3,21
Pirozi,1394/03/22,,1394,3,22
Pirozi,1394/03/23,51,1394,3,23
Pirozi,1394/03/24,31,1394,3,24
Pirozi,1394/03/25,33,1394,3,25
Pirozi,1394/03/26,23,1394,3,26
Pirozi,1394/03/27,109,1394,3,27
Pirozi,1394/03/28,84,1394,3,28
Pirozi,1394/03/29,66,1394,3,29
Pirozi,1394/03/30,25,1394,3,30
Pirozi,1394/03/31,59,1394,3,31
Pirozi,1394/04/01,77,1394,4,1
Pirozi,1394/04/02,110,1394,4,2
Pirozi,1394/04/03,85,1394,4,3
Pirozi,1394/04/04,89,1394,4,4
Pirozi,1394/04/05,66,1394,4,5
Pirozi,1394/04/06,91,1394,4,6
Pirozi,1394/04/07,105,1394,4,7
Pirozi,1394/04/08,87,1394,4,8
Pirozi,1394/04/09,93,1394,4,9
Pirozi,1394/04/10,92,1394,4,10
Pirozi,1394/04/11,53,1394,4,11
Pirozi,1394/04/12,50,1394,4,12
Pirozi,1394/04/13,41,1394,4,13
Pirozi,1394/04/14,43,1394,4,14
Pirozi,1394/04/15,79,1394,4,15
Pirozi,1394/04/16,60,1394,4,16
Pirozi,1394/04/17,69,1394,4,17
Pirozi,1394/04/18,67,1394,4,18
Pirozi,1394/04/19,61,1394,4,19
Pirozi,1394/04/20,67,1394,4,20
Pirozi,1394/04/21,61,1394,4,21
Pirozi,1394/04/22,68,1394,4,22
Pirozi,1394/04/23,69,1394,4,23
Pirozi,1394/04/24,41,1394,4,24
Pirozi,1394/04/25,24,1394,4,25
Pirozi,1394/04/26,47,1394,4,26
Pirozi,1394/04/27,46,1394,4,27
Pirozi,1394/04/28,38,1394,4,28
Pirozi,1394/04/29,40,1394,4,29
Pirozi,1394/04/30,54,1394,4,30
Pirozi,1394/04/31,57,1394,4,31
Pirozi,1394/05/01,66,1394,5,1
Pirozi,1394/05/02,72,1394,5,2
Pirozi,1394/05/03,58,1394,5,3
Pirozi,1394/05/04,58,1394,5,4
Pirozi,1394/05/05,45,1394,5,5
Pirozi,1394/05/06,19,1394,5,6
Pirozi,1394/05/07,48,1394,5,7
Pirozi,1394/05/08,30,1394,5,8
Pirozi,1394/05/09,18,1394,5,9
Pirozi,1394/05/10,40,1394,5,10
Pirozi,1394/05/11,32,1394,5,11
Pirozi,1394/05/12,27,1394,5,12
Pirozi,1394/05/13,18,1394,5,13
Pirozi,1394/05/14,29,1394,5,14
Pirozi,1394/05/15,,1394,5,15
Pirozi,1394/05/16,57,1394,5,16
Pirozi,1394/05/17,58,1394,5,17
Pirozi,1394/05/18,77,1394,5,18
Pirozi,1394/05/19,209,1394,5,19
Pirozi,1394/05/20,74,1394,5,20
Pirozi,1394/05/21,70,1394,5,21
Pirozi,1394/05/22,55,1394,5,22
Pirozi,1394/05/23,58,1394,5,23
Pirozi,1394/05/24,67,1394,5,24
Pirozi,1394/05/25,55,1394,5,25
Pirozi,1394/05/26,47,1394,5,26
Pirozi,1394/05/27,48,1394,5,27
Pirozi,1394/05/28,55,1394,5,28
Pirozi,1394/05/29,41,1394,5,29
Pirozi,1394/05/30,34,1394,5,30
Pirozi,1394/05/31,47,1394,5,31
Pirozi,1394/06/01,55,1394,6,1
Pirozi,1394/06/02,44,1394,6,2
Pirozi,1394/06/03,45,1394,6,3
Pirozi,1394/06/04,130,1394,6,4
Pirozi,1394/06/05,106,1394,6,5
Pirozi,1394/06/06,91,1394,6,6
Pirozi,1394/06/07,78,1394,6,7
Pirozi,1394/06/08,80,1394,6,8
Pirozi,1394/06/09,82,1394,6,9
Pirozi,1394/06/10,101,1394,6,10
Pirozi,1394/06/11,32,1394,6,11
Pirozi,1394/06/12,51,1394,6,12
Pirozi,1394/06/13,40,1394,6,13
Pirozi,1394/06/14,71,1394,6,14
Pirozi,1394/06/15,51,1394,6,15
Pirozi,1394/06/16,43,1394,6,16
Pirozi,1394/06/17,,1394,6,17
Pirozi,1394/06/18,,1394,6,18
Pirozi,1394/06/19,,1394,6,19
Pirozi,1394/06/20,,1394,6,20
Pirozi,1394/06/21,,1394,6,21
Pirozi,1394/06/22,,1394,6,22
Pirozi,1394/06/23,65,1394,6,23
Pirozi,1394/06/24,78,1394,6,24
Pirozi,1394/06/25,67,1394,6,25
Pirozi,1394/06/26,55,1394,6,26
Pirozi,1394/06/27,61,1394,6,27
Pirozi,1394/06/28,24,1394,6,28
Pirozi,1394/06/29,63,1394,6,29
Pirozi,1394/06/30,47,1394,6,30
Pirozi,1394/06/31,54,1394,6,31
Pirozi,1394/07/01,53,1394,7,1
Pirozi,1394/07/02,46,1394,7,2
Pirozi,1394/07/03,35,1394,7,3
Pirozi,1394/07/04,60,1394,7,4
Pirozi,1394/07/05,46,1394,7,5
Pirozi,1394/07/06,48,1394,7,6
Pirozi,1394/07/07,28,1394,7,7
Pirozi,1394/07/08,36,1394,7,8
Pirozi,1394/07/09,61,1394,7,9
Pirozi,1394/07/10,13,1394,7,10
Pirozi,1394/07/11,38,1394,7,11
Pirozi,1394/07/12,34,1394,7,12
Pirozi,1394/07/13,,1394,7,13
Pirozi,1394/07/14,32,1394,7,14
Pirozi,1394/07/15,41,1394,7,15
Pirozi,1394/07/16,22,1394,7,16
Pirozi,1394/07/17,32,1394,7,17
Pirozi,1394/07/18,58,1394,7,18
Pirozi,1394/07/19,46,1394,7,19
Pirozi,1394/07/20,33,1394,7,20
Pirozi,1394/07/21,55,1394,7,21
Pirozi,1394/07/22,54,1394,7,22
Pirozi,1394/07/23,54,1394,7,23
Pirozi,1394/07/24,39,1394,7,24
Pirozi,1394/07/25,54,1394,7,25
Pirozi,1394/07/26,49,1394,7,26
Pirozi,1394/07/27,62,1394,7,27
Pirozi,1394/07/28,87,1394,7,28
Pirozi,1394/07/29,67,1394,7,29
Pirozi,1394/07/30,64,1394,7,30
Pirozi,1394/08/01,65,1394,8,1
Pirozi,1394/08/02,55,1394,8,2
Pirozi,1394/08/03,62,1394,8,3
Pirozi,1394/08/04,83,1394,8,4
Pirozi,1394/08/05,83,1394,8,5
Pirozi,1394/08/06,62,1394,8,6
Pirozi,1394/08/07,59,1394,8,7
Pirozi,1394/08/08,46,1394,8,8
Pirozi,1394/08/09,56,1394,8,9
Pirozi,1394/08/10,61,1394,8,10
Pirozi,1394/08/11,50,1394,8,11
Pirozi,1394/08/12,30,1394,8,12
Pirozi,1394/08/13,56,1394,8,13
Pirozi,1394/08/14,86,1394,8,14
Pirozi,1394/08/15,86,1394,8,15
Pirozi,1394/08/16,91,1394,8,16
Pirozi,1394/08/17,68,1394,8,17
Pirozi,1394/08/18,66,1394,8,18
Pirozi,1394/08/19,35,1394,8,19
Pirozi,1394/08/20,26,1394,8,20
Pirozi,1394/08/21,24,1394,8,21
Pirozi,1394/08/22,46,1394,8,22
Pirozi,1394/08/23,54,1394,8,23
Pirozi,1394/08/24,50,1394,8,24
Pirozi,1394/08/25,63,1394,8,25
Pirozi,1394/08/26,82,1394,8,26
Pirozi,1394/08/27,91,1394,8,27
Pirozi,1394/08/28,56,1394,8,28
Pirozi,1394/08/29,,1394,8,29
Pirozi,1394/08/30,,1394,8,30
Pirozi,1394/09/01,,1394,9,1
Pirozi,1394/09/02,94,1394,9,2
Pirozi,1394/09/03,84,1394,9,3
Pirozi,1394/09/04,84,1394,9,4
Pirozi,1394/09/05,84,1394,9,5
Pirozi,1394/09/06,92,1394,9,6
Pirozi,1394/09/07,74,1394,9,7
Pirozi,1394/09/08,77,1394,9,8
Pirozi,1394/09/09,72,1394,9,9
Pirozi,1394/09/10,53,1394,9,10
Pirozi,1394/09/11,46,1394,9,11
Pirozi,1394/09/12,35,1394,9,12
Pirozi,1394/09/13,49,1394,9,13
Pirozi,1394/09/14,37,1394,9,14
Pirozi,1394/09/15,55,1394,9,15
Pirozi,1394/09/16,44,1394,9,16
Pirozi,1394/09/17,37,1394,9,17
Pirozi,1394/09/18,49,1394,9,18
Pirozi,1394/09/19,42,1394,9,19
Pirozi,1394/09/20,16,1394,9,20
Pirozi,1394/09/21,20,1394,9,21
Pirozi,1394/09/22,41,1394,9,22
Pirozi,1394/09/23,17,1394,9,23
Pirozi,1394/09/24,,1394,9,24
Pirozi,1394/09/25,,1394,9,25
Pirozi,1394/09/26,,1394,9,26
Pirozi,1394/09/27,,1394,9,27
Pirozi,1394/09/28,,1394,9,28
Pirozi,1394/09/29,77,1394,9,29
Pirozi,1394/09/30,81,1394,9,30
Pirozi,1394/10/01,71,1394,10,1
Pirozi,1394/10/02,79,1394,10,2
Pirozi,1394/10/03,85,1394,10,3
